address,issue,title,canonical_self,hreflang_values,hreflang_urls,indexability,source_pages,recommended_fix
https://shopline.tw/faq/pos,Hreflang missing x-default,POS 系統服務說明｜專為零售商店設計｜SHOPLINE 全方位零售整合專家,https://shopline.tw/faq/pos,zh-Hant-TW,https://shopline.tw//faq/pos,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/design,若有全球入口或語系選擇頁，加入 x-default；若無，於策略上註明不使用。
https://shopline.tw/payments,Hreflang missing x-default,SHOPLINE Payments 支援多元支付電商金流｜SHOPLINE 全方位零售整合專家,https://shopline.tw/payments,zh-Hant-TW,https://shopline.tw//payments,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,若有全球入口或語系選擇頁，加入 x-default；若無，於策略上註明不使用。
https://shopline.tw/online-store/product-3c-accessories,Hreflang missing x-default,3C 配件產業電商開店｜SHOPLINE 全方位零售整合專家,https://shopline.tw/online-store/product-3c-accessories,zh-Hant-TW,https://shopline.tw//online-store/product-3c-accessories,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/product-3c-accessories,若有全球入口或語系選擇頁，加入 x-default；若無，於策略上註明不使用。
https://shopline.tw/online-store/outdoor-ecommerce,Hreflang missing x-default,戶外用品產業電商開店｜SHOPLINE 全方位零售整合專家,https://shopline.tw/online-store/outdoor-ecommerce,zh-Hant-TW,https://shopline.tw//online-store/outdoor-ecommerce,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/outdoor-ecommerce,若有全球入口或語系選擇頁，加入 x-default；若無，於策略上註明不使用。
https://shopline.tw/online-store/bedding,Hreflang missing x-default,寢具電商開店｜SHOPLINE 全方位零售整合專家,https://shopline.tw/online-store/bedding,zh-Hant-TW,https://shopline.tw//online-store/bedding,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/bedding,若有全球入口或語系選擇頁，加入 x-default；若無，於策略上註明不使用。
https://shopline.tw/solutions/traffic-and-conversion,Hreflang missing x-default,流量獲取與轉換解決方案｜SHOPLINE 全方位零售整合專家,https://shopline.tw/solutions/traffic-and-conversion,zh-Hant-TW,https://shopline.tw//solutions/traffic-and-conversion,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,若有全球入口或語系選擇頁，加入 x-default；若無，於策略上註明不使用。
https://shopline.tw/online-store/fragrance-products,Hreflang missing x-default,香氛電商創業開店｜SHOPLINE 全方位零售整合專家,https://shopline.tw/online-store/fragrance-products,zh-Hant-TW,https://shopline.tw//online-store/fragrance-products,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/fragrance-products,若有全球入口或語系選擇頁，加入 x-default；若無，於策略上註明不使用。
https://shopline.tw/faq/overview,Hreflang missing x-default,新手問答｜SHOPLINE 全方位零售整合專家,https://shopline.tw/faq/overview,zh-Hant-TW | zh-Hant-HK | en-HK,https://shopline.tw//faq/overview | https://shopline.hk//faq/overview | https://shopline.hk/en/faq/overview,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,若有全球入口或語系選擇頁，加入 x-default；若無，於策略上註明不使用。
https://shopline.tw/news/shopline-2023-retail-whitepaper,Hreflang missing x-default,SHOPLINE 公布《2023 新零售開店白皮書》解析最新電商趨勢，OMO 全通路整合、分眾行銷、社群商務成品牌致勝三大關鍵,https://shopline.tw/news/shopline-2023-retail-whitepaper,zh-Hant-TW,https://shopline.tw//news/shopline-2023-retail-whitepaper,Indexable,https://shopline.tw/about/press | https://shopline.tw/news/shopline-2023-retail-whitepaper,若有全球入口或語系選擇頁，加入 x-default；若無，於策略上註明不使用。
https://shopline.tw/news/shopline-2025-omo-retail-integration-expert,Hreflang missing x-default,SHOPLINE 啟動 2025 品牌升級計畫   定位「全方位零售整合專家」｜SHOPLINE 全方位零售整合專家,https://shopline.tw/news/shopline-2025-omo-retail-integration-expert,zh-Hant-TW,https://shopline.tw//news/shopline-2025-omo-retail-integration-expert,Indexable,https://shopline.tw/about/press | https://shopline.tw/news/shopline-2025-omo-retail-integration-expert,若有全球入口或語系選擇頁，加入 x-default；若無，於策略上註明不使用。
