issue_id,issue_name,severity,category,affected_url,canonical_url,canonical_code,compliant,depth,recommended_fix
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//online-store/fragrance-products,https://shopline.tw/online-store/fragrance-products,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//social-commerce/instagram-live,https://shopline.tw/social-commerce/instagram-live,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//news/shopline-cashback,https://shopline.tw/news/shopline-cashback,200,false,2,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//online-store/food-and-beverage,https://shopline.tw/online-store/food-and-beverage,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//news/shopline-2024-whitepaper,https://shopline.tw/news/shopline-2024-whitepaper,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//line-solution,https://shopline.tw/line-solution,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//news/shopline-2023-double11-first-week,https://shopline.tw/news/shopline-2023-double11-first-week,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//news/shopline-onewarehouse-introduction,https://shopline.tw/news/shopline-onewarehouse-introduction,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//pos/hardware,https://shopline.tw/pos/hardware,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//faq/about,https://shopline.tw/faq/about,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//news/shopline-youtube-shopping,https://shopline.tw/news/shopline-youtube-shopping,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//solutions/traffic-and-conversion,https://shopline.tw/solutions/traffic-and-conversion,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//faq/community,https://shopline.tw/faq/community,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//showcase/pets,https://shopline.tw/showcase/pets,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//faq/social-commerce,https://shopline.tw/faq/social-commerce,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//showcase,https://shopline.tw/showcase,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//templates,https://shopline.tw/templates,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//features/landing-page,https://shopline.tw/features/landing-page,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//showcase/health-and-supplements,https://shopline.tw/showcase/health-and-supplements,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//solutions/omo,https://shopline.tw/solutions/omo,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
c64d3a17-d0f4-11e7-8ed1-001e67ed4656,Double slash in URL,Error,Technical SEO,https://shopline.tw//pos,https://shopline.tw/pos,200,false,1,Normalize URL to single slash and update internal links/hreflang/canonical references
